Code;Name
07.02.00;Водный спорт
07.02.01;Плоты
07.02.02;Весла
07.02.03;Надувные лодки
07.02.04;Водное поло
07.02.05;Аксессуары для плавания
07.02.06;Виндсерфинг
07.02.07;Лодочные моторы
07.02.08;Водные лыжи, вейкбординг и книбординг
07.02.09;Катамараны
07.02.10;Буксируемые баллоны
07.02.11;Бассейны и аксессуары
07.02.12;Гидроциклы
07.02.13;Спасательные жилеты и круги
07.02.14;Кайтсерфинг
07.02.15;Подводное плавание
07.02.16;Яхты и катера
07.02.17;Байдарки и каноэ
07.02.18;Аксессуары для лодок, катеров и яхт
07.03.00;Спортивные сумки
07.04.00;Охота и рыбалка
07.04.01;Прицелы
07.04.02;Аксессуары
07.04.03;Подводная охота
07.04.04;Эхолоты
07.04.05;Садки и подсачеки
07.04.06;Рыбалка
07.04.07;Одежда и обувь
07.05.00;Туризм
07.05.01;Спальные мешки
07.05.02;Палатки
07.05.03;Тенты
07.05.04;Посуда
07.05.05;Походная мебель
07.05.06;Сумки-холодильники
07.05.07;Фонари
07.05.08;Компасы
07.05.09;Коврики
07.06.00;Игры
07.06.01;Сквош
07.06.02;Игровые столы
07.06.03;Дартс
07.06.04;Бильярд
07.06.05;Бадминтон
07.06.06;Большой теннис
07.06.07;Настольный теннис
07.07.00;Активный отдых
07.07.01;Велосипеды
07.07.02;Роликовые коньки
07.07.03;Самокаты
07.08.00;Экстремальные виды спорта
07.08.01;Парапланеризм
07.08.02;Скейтбординг
07.08.03;Альпинизм
07.08.04;Защита и профилактика травм
07.09.00;Тренажеры и фитнес
07.09.01;Тренажеры
07.09.02;Йога
07.09.03;Тяжелая атлетика
07.09.04;Фитнес
07.09.05;Легкая атлетика
07.09.06;Пульсометры и шагомеры
07.09.07;Гимнастические снаряды и спортивные комплексы
07.10.00;Командные виды спорта
07.10.01;Футбол
07.10.02;Бейсбол, городки
07.10.03;Пейнтбол и страйкбол
07.10.04;Флорбол
07.10.05;Регби и гандбол
07.10.06;Баскетбол
07.10.07;Волейбол
07.11.00;Зимние виды спорта
07.11.01;Горные лыжи
07.11.02;Санки и снегокаты
07.11.03;Беговые лыжи
